,name,one_day_volume,one_day_change,one_day_sales,one_day_average_price,seven_day_volume,seven_day_change,seven_day_sales,seven_day_average_price,thirty_day_volume,thirty_day_change,thirty_day_sales,thirty_day_average_price,total_volume,total_sales,total_supply,count,num_owners,average_price,num_reports,market_cap,floor_price,slug
0,Mindicium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,22.0,0.0,0.0,0.0,0.0,mindicium
1,HeavenComputer,63.6350573092438,0.17170245837618253,248.0,0.25659297302114437,511.013218575706,0.42186687142358104,2851.0,0.1792399924853406,870.409185136256,0.0,4743.0,0.1835144813696513,870.409185136257,4746.0,7777.0,7777.0,2514.0,0.1833984798011498,0.0,1393.9494215584937,0.25,heavencomputer
2,Non Fungible Frens,2.9379,4.176916299559471,10.0,0.29379,19.656,-0.9616531144163688,74.0,0.2656216216216216,532.24,0.0,839.0,0.6343742550655542,532.24,839.0,1001.0,1001.0,366.0,0.6343742550655542,13.0,265.88724324324323,0.107411277110346,non-fungible-frens
3,Incognito,175.487523189905,0.1788325991455846,429.0,0.40906182561749416,1272.98941232675,-0.37377504101232106,3810.0,0.334117955991273,3305.78831958297,0.0,10535.0,0.3137910127748429,3305.788319583,10539.0,10000.0,10000.0,3170.0,0.3136719157019641,4.0,3341.1795599127295,0.22,incognito-nft
4,Hedrons,0.2,1.0,4.0,0.05,1.37,0.014814814814814828,24.0,0.05708333333333334,2.72,0.0,51.0,0.05333333333333334,2.72,51.0,49.0,49.0,33.0,0.05333333333333334,0.0,2.7970833333333336,0.5,hedrons
5,Crazy Crows Chess Club,1.17355747233418,-0.7655453559846987,30.0,0.03911858241113933,16.1797700392642,-0.15955087796868983,444.0,0.0364409235118563,35.4311079431682,0.0,762.0,0.04649751698578504,35.4311079431682,762.0,8181.0,8181.0,1813.0,0.04649751698578504,0.0,298.1231952504964,0.01,crazy-crows-chess-club
6,Lumps World,12.9611,0.06753918508207661,11.0,1.1782818181818182,102.222794287654,-0.150538910184616,133.0,0.7685924382530376,222.561201206173,0.0,810.0,0.27476691506934936,222.561201206173,810.0,500.0,500.0,279.0,0.27476691506934936,0.0,384.2962191265188,1.222,lumpsworld
7,Astraglade,0.293,0.0,7.0,0.04185714285714286,0.388,6.76,13.0,0.02984615384615385,2.6365,0.0,41.0,0.06430487804878049,2.6365,41.0,694.0,694.0,532.0,0.06430487804878049,0.0,20.71323076923077,0.07,astraglade
8,Mutagen,0.012,0.0,1.0,0.012,5.251,2.5074477322824125,10.0,0.5251,65.1234,0.0,298.0,0.21853489932885908,65.1233999999999,298.0,4178.0,4178.0,598.0,0.21853489932885875,1.0,2193.8678,0.01,mutagen
9,Treeverse,491.72012759082,0.1971285790228272,338.0,1.4547932768959173,1274.2296296884,1.7084864170376883,1473.0,0.8650574539636118,2558.6826569334,0.0,5417.0,0.4723431155498246,2558.68265693345,5417.0,10420.0,10420.0,3600.0,0.4723431155498338,0.0,9013.898670300834,1.55,treeverse
