,date,totalLiquidityUSD,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
0,2020-02-09,1163733.163555646,,,,,,,,,,,
1,2020-02-10,1372109.5210558001,,,,,,,,,,,
2,2020-02-11,960753.4119686644,,,,,,,,,,,
3,2020-02-12,1006407.9548926338,,,,,,,,,,,
4,2020-02-13,1258776.4084864738,,,,,,,,,,,
5,2020-02-14,1615312.1656868223,,,,,,,,,,,
6,2020-02-15,1777653.6281359405,,,,,,,,,,,
7,2020-02-16,1784501.2070907264,,,,,,,,,,,
8,2020-02-17,1853352.9412784535,,,,,,,,,,,
9,2020-02-18,1769284.856678494,,,,,,,,,,,
10,2020-02-19,1855595.550010041,,,,,,,,,,,
11,2020-02-20,1884234.4699497889,,,,,,,,,,,
12,2020-02-21,1784691.7786683766,,,,,,,,,,,
13,2020-02-22,1606294.2748156032,,,,,,,,,,,
14,2020-02-23,1344604.7904472933,,,,,,,,,,,
15,2020-02-24,1154323.291185122,,,,,,,,,,,
16,2020-02-25,1087608.4870834365,,,,,,,,,,,
17,2020-02-26,1091406.8309130608,,,,,,,,,,,
18,2020-02-27,792908.5879864291,,,,,,,,,,,
19,2020-02-28,822155.8185358968,,,,,,,,,,,
20,2020-02-29,808999.3442929974,,,,,,,,,,,
21,2020-03-01,816678.2930228871,,,,,,,,,,,
22,2020-03-02,836871.4512967124,,,,,,,,,,,
23,2020-03-03,763696.5400990457,,,,,,,,,,,
24,2020-03-04,774084.3553824744,,,,,,,,,,,
25,2020-03-05,643956.6689233378,,,,,,,,,,,
26,2020-03-06,646412.8620357906,,,,,,,,,,,
27,2020-03-07,643645.6236704926,,,,,,,,,,,
28,2020-03-08,690213.514859696,,,,,,,,,,,
29,2020-03-09,647684.7328205343,,,,,,,,,,,
30,2020-03-10,666464.0603286555,,,,,,,,,,,
31,2020-03-11,672562.8162651401,,,,,,,,,,,
32,2020-03-12,626287.4302735269,,,,,,,,,,,
33,2020-03-13,559463.388683158,,,,,,,,,,,
34,2020-03-14,649613.0066103381,,,,,,,,,,,
35,2020-03-15,699537.9640744688,,,,,,,,,,,
36,2020-03-16,898455.3487893065,,,,,,,,,,,
37,2020-03-17,866183.5214515483,,,,,,,,,,,
38,2020-03-18,1152787.6758112574,,,,,,,,,,,
39,2020-03-19,1184322.7114331324,,,,,,,,,,,
40,2020-03-20,1357905.8023745343,,,,,,,,,,,
41,2020-03-21,1333468.9907311047,,,,,,,,,,,
42,2020-03-22,1233180.6835562815,,,,,,,,,,,
43,2020-03-23,1192763.7822708108,,,,,,,,,,,
44,2020-03-24,1202677.6429378663,,,,,,,,,,,
45,2020-03-25,1193981.3591191792,,,,,,,,,,,
46,2020-03-26,1157538.467532872,,,,,,,,,,,
47,2020-03-27,1145274.8340691447,,,,,,,,,,,
48,2020-03-28,1114547.4196214664,,,,,,,,,,,
49,2020-03-29,1120114.609672896,,,,,,,,,,,
50,2020-03-29,1134273.6220981933,,,,,,,,,,,
51,2020-03-30,1116740.358504523,,,,,,,,,,,
52,2020-03-31,1127866.1168496099,,,,,,,,,,,
53,2020-04-01,1131196.6813777965,,,,,,,,,,,
54,2020-04-02,1125472.1954721676,,,,,,,,,,,
55,2020-04-03,1110240.2456253488,,,,,,,,,,,
56,2020-04-04,1110468.9275954398,,,,,,,,,,,
57,2020-04-05,1110555.7168200926,,,,,,,,,,,
58,2020-04-06,1105062.5538067927,,,,,,,,,,,
59,2020-04-07,1118109.6867102974,,,,,,,,,,,
60,2020-04-08,1118945.0959480861,,,,,,,,,,,
61,2020-04-09,1129824.016711226,,,,,,,,,,,
62,2020-04-10,1093537.9910721465,,,,,,,,,,,
63,2020-04-11,1097357.6499379594,,,,,,,,,,,
64,2020-04-12,809415.4638789566,,,,,,,,,,,
65,2020-04-13,774516.4817373173,,,,,,,,,,,
66,2020-04-14,776883.4050579412,,,,,,,,,,,
67,2020-04-15,317282.4786455769,,,,,,,,,,,
68,2020-04-16,303359.4052448271,,,,,,,,,,,
69,2020-04-17,272502.86121389567,,,,,,,,,,,
70,2020-04-18,267454.93290516245,,,,,,,,,,,
71,2020-04-19,257512.33430737362,,,,,,,,,,,
72,2020-04-20,162639.00556848894,,,,,,,,,,,
73,2020-04-21,183599.61722495544,,,,,,,,,,,
74,2020-04-22,2224245.7451340547,,,,,,,,,,,
75,2020-04-23,9186476.33141288,,,,,,,,,,,
76,2020-04-24,9364664.808062825,,,,,,,,,,,
77,2020-04-25,9597292.846186744,,,,,,,,,,,
78,2020-04-26,9802365.981518008,,,,,,,,,,,
79,2020-04-27,9871369.139415149,,,,,,,,,,,
80,2020-04-28,10005359.01172354,,,,,,,,,,,
81,2020-04-29,10297832.47641397,,,,,,,,,,,
82,2020-04-30,10828912.029230876,,,,,,,,,,,
83,2020-05-01,10881408.785363685,,,,,,,,,,,
84,2020-05-02,11002083.4028109,,,,,,,,,,,
85,2020-05-03,11103262.223595781,,,,,,,,,,,
86,2020-05-04,11038514.425464647,,,,,,,,,,,
87,2020-05-05,11159275.909341656,,,,,,,,,,,
88,2020-05-06,12158933.507819436,,,,,,,,,,,
89,2020-05-07,12576428.878885202,,,,,,,,,,,
90,2020-05-08,12485819.628729604,,,,,,,,,,,
91,2020-05-09,12524366.074680142,,,,,,,,,,,
92,2020-05-10,12116893.527506672,,,,,,,,,,,
93,2020-05-11,12590363.733030565,,,,,,,,,,,
