,matched,visibility,txId,blockHeight,createdAt,opCode,type,txType,eventId,opObject,points,overOdds,underOdds
0,True,True,ae5859c0a507537ea90119b362e24289ec762c47dbf1d853090c65acb32629bb,807424,2019-09-04T18:21:41.000Z,42010a19010000d1012c4c0000b04f0000,10,peerlessTotalsMarket,281,"{'prefix': 'B', 'version': 1, 'type': 10, 'txType': 'peerlessTotalsMarket', 'eventId': 281, 'spreadPoints': 465, 'homeOdds': 19500, 'awayOdds': 20400, 'opCode': '42010a19010000d1012c4c0000b04f0000'}",465,19500,20400
1,True,True,789eb0b7e5c5617b3b5e47fa196681f4813b6f578fd910862a4b44b68b771d51,808556,2019-09-05T11:57:34.000Z,42010a19010000d101f44c0000e84e0000,10,peerlessTotalsMarket,281,"{'prefix': 'B', 'version': 1, 'type': 10, 'txType': 'peerlessTotalsMarket', 'eventId': 281, 'spreadPoints': 465, 'homeOdds': 19700, 'awayOdds': 20200, 'opCode': '42010a19010000d101f44c0000e84e0000'}",465,19700,20200
2,True,True,f27e0706741c90e59995777e8392ba5c09a71ec4d5089632028399c1c67f2fe3,808764,2019-09-05T15:10:42.000Z,42010a19010000d101844e0000584d0000,10,peerlessTotalsMarket,281,"{'prefix': 'B', 'version': 1, 'type': 10, 'txType': 'peerlessTotalsMarket', 'eventId': 281, 'spreadPoints': 465, 'homeOdds': 20100, 'awayOdds': 19800, 'opCode': '42010a19010000d101844e0000584d0000'}",465,20100,19800
3,True,True,9eabe0d784ec5e585f415a0d26ece520e49dc8aa4bd041562edbfa142a1ab352,808919,2019-09-05T17:38:44.000Z,42010a19010000d101c84b000014500000,10,peerlessTotalsMarket,281,"{'prefix': 'B', 'version': 1, 'type': 10, 'txType': 'peerlessTotalsMarket', 'eventId': 281, 'spreadPoints': 465, 'homeOdds': 19400, 'awayOdds': 20500, 'opCode': '42010a19010000d101c84b000014500000'}",465,19400,20500
4,True,True,6b8da6e12ce33bc3f5977ea2f91ec4664c6ba50483fd4b265110bf40d25e6c17,809105,2019-09-05T20:33:02.000Z,42010a19010000d101f44c0000e84e0000,10,peerlessTotalsMarket,281,"{'prefix': 'B', 'version': 1, 'type': 10, 'txType': 'peerlessTotalsMarket', 'eventId': 281, 'spreadPoints': 465, 'homeOdds': 19700, 'awayOdds': 20200, 'opCode': '42010a19010000d101f44c0000e84e0000'}",465,19700,20200
5,True,True,b3bac42dcd06ebc4c10a531a7622fd3b516bc5d04e77d386f5d2cb09ea7cf4ea,809135,2019-09-05T21:01:01.000Z,42010a19010000d101204e0000bc4d0000,10,peerlessTotalsMarket,281,"{'prefix': 'B', 'version': 1, 'type': 10, 'txType': 'peerlessTotalsMarket', 'eventId': 281, 'spreadPoints': 465, 'homeOdds': 20000, 'awayOdds': 19900, 'opCode': '42010a19010000d101204e0000bc4d0000'}",465,20000,19900
6,True,True,b0fb85b99653fb06a084b7ee33a2e5490d0cf08852c512b28c7e5a2083edf0bf,809158,2019-09-05T21:20:22.000Z,42010a19010000d101904c00004c4f0000,10,peerlessTotalsMarket,281,"{'prefix': 'B', 'version': 1, 'type': 10, 'txType': 'peerlessTotalsMarket', 'eventId': 281, 'spreadPoints': 465, 'homeOdds': 19600, 'awayOdds': 20300, 'opCode': '42010a19010000d101904c00004c4f0000'}",465,19600,20300
7,True,True,beb645b33b057318623b293c978f22153dce8153df93ec6925d9a97c2b330c50,809170,2019-09-05T21:30:19.000Z,42010a19010000d101584d0000844e0000,10,peerlessTotalsMarket,281,"{'prefix': 'B', 'version': 1, 'type': 10, 'txType': 'peerlessTotalsMarket', 'eventId': 281, 'spreadPoints': 465, 'homeOdds': 19800, 'awayOdds': 20100, 'opCode': '42010a19010000d101584d0000844e0000'}",465,19800,20100
8,True,True,d9e0c108c82ad6d5df8985ec7531f46ec8e165dc3dd2c0ecf2d6c08f89e0bead,809197,2019-09-05T21:47:53.000Z,42010a19010000d101904c00004c4f0000,10,peerlessTotalsMarket,281,"{'prefix': 'B', 'version': 1, 'type': 10, 'txType': 'peerlessTotalsMarket', 'eventId': 281, 'spreadPoints': 465, 'homeOdds': 19600, 'awayOdds': 20300, 'opCode': '42010a19010000d101904c00004c4f0000'}",465,19600,20300
9,True,True,4ea771e17c20baae8400ec64085ba210731003f1309d61d8ba1d76d3b6db4dab,809213,2019-09-05T22:05:27.000Z,42010a19010000d101644b0000dc500000,10,peerlessTotalsMarket,281,"{'prefix': 'B', 'version': 1, 'type': 10, 'txType': 'peerlessTotalsMarket', 'eventId': 281, 'spreadPoints': 465, 'homeOdds': 19300, 'awayOdds': 20700, 'opCode': '42010a19010000d101644b0000dc500000'}",465,19300,20700
